taxon	lfc_(Intercept)	lfc_EnvironmentFreshwater	lfc_EnvironmentSaline	se_(Intercept)	se_EnvironmentFreshwater	se_EnvironmentSaline	W_(Intercept)	W_EnvironmentFreshwater	W_EnvironmentSaline	p_(Intercept)	p_EnvironmentFreshwater	p_EnvironmentSaline	q_(Intercept)	q_EnvironmentFreshwater	q_EnvironmentSaline	diff_(Intercept)	diff_EnvironmentFreshwater	diff_EnvironmentSaline	passed_ss_(Intercept)	passed_ss_EnvironmentFreshwater	passed_ss_EnvironmentSaline	diff_robust_(Intercept)	diff_robust_EnvironmentFreshwater	diff_robust_EnvironmentSaline
Unknown_Pseudoxanthomonas	1.65988678117019	-1.38947710908814	-2.505752564565	0.373947601973607	0.610660365110926	0.565452551997448	4.43882183602649	-2.27536809079748	-4.4314108331698	0.0113442863164889	0.0852210141846206	0.0114095365101405	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Unknown_Psychrobacter	1.31062327089797	-2.31395602786831	0.571497232240471	0.613449883595257	0.803555064104701	1.27893453872223	2.13647977764177	-2.87964836665731	0.446854170356092	0.055946435420772	0.0149807058393219	0.663650412028495	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Psychroserpens	-0.834902996084198	0.331567509132071	3.45279695703403	0.186283286908707	0.636071160589511	0.846413649698762	-4.48189963758457	0.521274237342837	4.0793257035291	0.00092848865199684	0.612508935420583	0.00182229046546635	0.430818734526534	1	0.863765680631052	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Ralstonia	-0.125073075931261	0.235040761609898	1.96924340956913	0.191953213385129	0.498800903223808	1.08042527413087	-0.651581047931291	0.471211579792262	1.82265581592698	0.529360801352065	0.647601228684716	0.0983493222183583	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Ramlibacter	-0.27531468830247	2.30066552125671	-0.695304188829275	0.222139517972319	0.647973098080744	0.458750298479607	-1.23937735534646	3.55055715749796	-1.51564847180189	0.255144064970646	0.00933677014130555	0.173386749868541	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Unknown_Reinekea	0.451890742936215	-1.25085470306554	1.41240842694375	0.207540965798918	0.516898987891827	0.651042121312349	2.17735684710093	-2.41992097559942	2.16945782877561	0.0574212317550432	0.0386156353519031	0.0581648209054811	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
Rheinheimera	1.01115956901655	-0.0708649686761742	-0.930854951067391	0.351917270817857	1.4428996528057	0.548844446848437	2.8732877095421	-0.0491128877454356	-1.69602690965086	0.0165750848760974	0.961796420912393	0.120736865834325	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Unknown_Rhizobium	0.154717495298312	2.43041690245362	-0.243037459411158	0.65650165164489	0.824560218014645	1.27032848715674	0.235669620800895	2.94753111944391	-0.191318593472722	0.816876440293685	0.009983386877745	0.850841603903651	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Unknown_Rhodobacter	-0.424039747281257	4.97661140057344	-1.03169538485164	0.388723868118095	0.658280912387991	0.553618360059995	-1.09085081225945	7.56001170157009	-1.86354980123824	0.295144777594192	4.13090427629055e-06	0.0851258648732043	1	0.00213154660656592	1	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
Unknown_Rhodococcus	1.74275108929237	-2.57452930559038	-1.32650759078633	0.52108455892146	0.786844228990915	0.671009877811579	3.34446887641329	-3.27196821268178	-1.97688235993273	0.0101634478576394	0.0113228587586226	0.0834503568491525	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Rhodoferax	-0.063810863533672	4.35027030254879	-1.55288592148043	0.561930493939497	1.03197667055264	0.73590479823581	-0.113556506048135	4.21547349536415	-2.11017230109544	0.911201725122859	0.00086416163990847	0.0533194907169909	1	0.40097100091753	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Rhodomicrobium	-1.61525403195262	4.55278189705006	0.401845824502338	0.197550200265299	0.938487163326676	0.480638678844106	-8.17642315615688	4.85119250956157	0.836066347112851	7.92774675004515e-05	0.00185378207619589	0.430728473946531	0.0397972886852266	0.825514648758374	1	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
Rhodopirellula	-1.96345521162449	5.18596889851408	4.22060912577508	0.461127146256712	0.771026638468019	0.978645353515756	-4.25794756947887	6.7260567142249	4.31270542552791	0.000601136150635889	4.8680203404007e-06	0.000536274718279036	0.28373626310014	0.00250703047530636	0.269209908576076	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
Unknown_Rhodoplanes	-0.205786448475827	3.56271807723875	0.179478799659146	0.294344852593671	0.581144238339635	0.648728236363137	-0.699133844748783	6.13052292735046	0.276662536943558	0.493923696851148	1.11002236315449e-05	0.785374859196803	1	0.00566111405208789	1	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
Rhodopseudomonas	-0.0622678259377086	1.79971831880937	-1.74861069142577	0.327574152288472	0.795947206648894	0.51725359178123	-0.190087726710725	2.26110262562081	-3.38056751893052	0.854635316289535	0.0582366025183952	0.0117495943033346	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Rhodovibrio	-0.959330347811616	-0.471823400205255	3.28426606052034	0.242693799123391	0.514555332130908	1.118536051391	-3.95284243469224	-0.91695366998008	2.93621833327238	0.00551191680153822	0.389665053038093	0.0218303260283212	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
