taxon	lfc_(Intercept)	lfc_EthnicityChinese	lfc_GenderMale	se_(Intercept)	se_EthnicityChinese	se_GenderMale	W_(Intercept)	W_EthnicityChinese	W_GenderMale	p_(Intercept)	p_EthnicityChinese	p_GenderMale	q_(Intercept)	q_EthnicityChinese	q_GenderMale	diff_(Intercept)	diff_EthnicityChinese	diff_GenderMale	passed_ss_(Intercept)	passed_ss_EthnicityChinese	passed_ss_GenderMale	diff_robust_(Intercept)	diff_robust_EthnicityChinese	diff_robust_GenderMale
Lachnospiraceae UCG-010	0.103244999322739	0.11135327164979	-0.299044267161224	0.081314544359331	0.116539453655573	0.126521397139288	1.26969904506255	0.955498487052197	-2.36358650728465	0.208936915269527	0.34303651431384	0.0212476307445386	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Marvinbryantia	-0.07576991397424	-0.110601629100039	0.284494347485998	0.0782694076029971	0.110463212612672	0.122661105995419	-0.968065509816617	-1.00125305505872	2.31935253785028	0.340504167439578	0.324456351831709	0.0271351691958947	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Unknown_Megamonas	-0.786226499552781	0.621736890545324	0.882352346064617	0.0812850899297791	0.126083993394947	0.143305959846881	-9.67245653824076	4.93113260299259	6.15712247423196	1.40886182328008e-07	0.000221079380833487	2.4885309419939e-05	1.95831793435931e-05	0.0291824782700203	0.00348394331879146	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Methanobrevibacter	0.185551255140563	-0.53508521259811	0.450352408032775	0.100792170467061	0.130201839500423	0.138407280646094	1.84092925353962	-4.10965939230354	3.25382021762511	0.0798054299729614	0.000499903809960084	0.0037974720204611	1	0.0634877838649307	0.474684002557637	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Unknown_Monoglobus	0.0685204636210806	0.0807650724283705	-0.301779827034114	0.136434681581138	0.180040473846967	0.182268189906388	0.502221743232724	0.448593978357445	-1.65569113946381	0.616311970259986	0.654428162765729	0.100056667204132	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Unknown_Negativibacillus	-0.481161337260205	0.620503731457001	0.214104526945379	0.0691564041669513	0.10668396666361	0.119974010334001	-6.95758177505337	5.81627915480065	1.78459089888988	9.95037955784184e-08	2.33250243106546e-06	0.0844447680356817	1.39305313809786e-05	0.000326550340349164	1	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
NK4A214 group	-0.192893505008115	0.308594161743242	0.187725333843186	0.13759674952106	0.168827763357543	0.170736217699481	-1.40187544894433	1.82786382764369	1.09950505155039	0.16439193294099	0.0708833840727581	0.274480250059801	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Oscillibacter	-0.276516171513876	0.295462968427316	0.181700421754024	0.0868491917941004	0.127369998699956	0.139190696849471	-3.18386580003453	2.31972184535649	1.305406365991	0.00228879613478933	0.0237190324207213	0.196656863038216	0.267789147770352	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Unknown_Parabacteroides	-0.0649112818311467	-0.212943612090566	0.408533446988622	0.102816045605839	0.140988846479067	0.146044815155663	-0.631334160428558	-1.51035785743649	2.79731564967359	0.529970119936941	0.135654219150361	0.00672029429773393	1	1	0.792994727132604	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Paraprevotella	-0.0682049755526552	0.0691133158281608	0.187214474382341	0.0788780760000173	0.110363513028523	0.123912820318316	-0.864688631003629	0.626233380322887	1.51085637387165	0.396540480556029	0.537605877330928	0.145056237667984	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Unknown_Parasutterella	0.0687251081712539	-0.0517689003146504	-0.453824333420144	0.115440709064266	0.149794161918513	0.152084595176916	0.595328188195677	-0.345600253385125	-2.98402565290864	0.554896115619791	0.731410171122726	0.00477702675409909	1	1	0.573243210491891	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Unknown_Phascolarctobacterium	0.379133020182993	0.139142637843093	-0.928054875923916	0.0901007041085139	0.124958048190528	0.130594791804603	4.20788077001462	1.11351481443546	-7.10636973419642	0.000395246979452166	0.278070945269913	5.20803402258522e-07	0.050196366390425	1	7.34332797184516e-05	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
Unknown_Prevotella_9	0.296844422125947	0.130179577796683	-0.582061945606158	0.103733612357513	0.152844751949049	0.168592678104745	2.86160305593992	0.851711139156931	-3.4524746397618	0.00660735015406786	0.399322000287247	0.0013023777261997	0.746630567409668	1	0.16930910440596	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Romboutsia	0.402759269427843	-0.572092540899284	-0.190284993698655	0.143664573333613	0.1834417174593	0.183937117179226	2.80346963821462	-3.1186610593428	-1.03451112324025	0.00595189350712322	0.0023051639020797	0.303106168839086	0.678515859812047	0.274314504347484	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Unknown_Roseburia	0.11826251624466	-0.194763131245302	0.0754954357462823	0.112076095246529	0.145407581779021	0.149423658583232	1.05519839877114	-1.33942899580909	0.505244192667319	0.293929072256629	0.183529147355938	0.614521735150391	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
